series,date,index,index_sa
growth_yoy,2019-02-01,2.412,1.878
abs,2019-03-01,116.006,114.499
growth_mom,2019-03-01,11.249,1.406
growth_yoy,2019-03-01,3.327,3.069
abs,2019-04-01,112.671,116.883
growth_mom,2019-04-01,-2.874,2.082
growth_yoy,2019-04-01,3.381,3.403
abs,2019-05-01,116.224,117.789
growth_mom,2019-05-01,3.153,0.775
growth_yoy,2019-05-01,4.115,4.997
abs,2019-06-01,115.317,116.009
growth_mom,2019-06-01,-0.78,-1.511
growth_yoy,2019-06-01,3.144,3.556
abs,2019-07-01,114.771,115.648
growth_mom,2019-07-01,-0.474,-0.311
growth_yoy,2019-07-01,1.325,2.313
abs,2019-08-01,114.887,114.464
growth_mom,2019-08-01,0.102,-1.024
growth_yoy,2019-08-01,2.265,2.076
abs,2019-09-01,114.27,113.614
growth_mom,2019-09-01,-0.537,-0.743
growth_yoy,2019-09-01,1.696,1.304
abs,2019-10-01,118.046,113.803
growth_mom,2019-10-01,3.305,0.166
growth_yoy,2019-10-01,0.246,0.149
abs,2019-11-01,116.976,114.874
growth_mom,2019-11-01,-0.907,0.941
growth_yoy,2019-11-01,2.379,2.123
abs,2019-12-01,117.452,113.648
growth_mom,2019-12-01,0.407,-1.067
growth_yoy,2019-12-01,1.278,1.106
abs,2020-01-01,118.547,114.191
growth_mom,2020-01-01,0.932,0.478
growth_yoy,2020-01-01,0.685,0.652
abs,2020-02-01,110.597,118.496
growth_mom,2020-02-01,-6.706,3.77
growth_yoy,2020-02-01,6.063,4.946
abs,2020-03-01,110.082,108.343
growth_mom,2020-03-01,-0.466,-8.568
growth_yoy,2020-03-01,-5.106,-5.376
abs,2020-04-01,77.052,79.766
growth_mom,2020-04-01,-30.005,-26.376
growth_yoy,2020-04-01,-31.613,-31.756
abs,2020-05-01,91.279,93.509
growth_mom,2020-05-01,18.464,17.229
growth_yoy,2020-05-01,-21.463,-20.613
abs,2020-06-01,115.479,115.706
growth_mom,2020-06-01,26.512,23.738
growth_yoy,2020-06-01,0.14,-0.261
abs,2020-07-01,116.859,119.444
growth_mom,2020-07-01,1.195,3.231
growth_yoy,2020-07-01,1.819,3.282
abs,2020-08-01,114.805,114.753
growth_mom,2020-08-01,-1.757,-3.927
growth_yoy,2020-08-01,-0.071,0.252
abs,2020-09-01,115.98,115.01
growth_mom,2020-09-01,1.023,0.224
growth_yoy,2020-09-01,1.497,1.229
abs,2020-10-01,117.862,113.92
growth_mom,2020-10-01,1.623,-0.948
growth_yoy,2020-10-01,-0.156,0.103
abs,2020-11-01,114.393,111.779
growth_mom,2020-11-01,-2.943,-1.879
growth_yoy,2020-11-01,-2.208,-2.694
abs,2020-12-01,119.519,115.305
growth_mom,2020-12-01,4.481,3.154
growth_yoy,2020-12-01,1.76,1.458
abs,2021-01-01,120.041,116.033
growth_mom,2021-01-01,0.437,0.631
growth_yoy,2021-01-01,1.26,1.613
abs,2021-02-01,112.384,119.701
growth_mom,2021-02-01,-6.379,3.161
growth_yoy,2021-02-01,1.615,1.017
abs,2021-03-01,120.629,118.365
growth_mom,2021-03-01,7.337,-1.116
growth_yoy,2021-03-01,9.582,9.25
abs,2021-04-01,115.27,120.731
growth_mom,2021-04-01,-4.443,1.999
growth_yoy,2021-04-01,49.6,51.356
abs,2021-05-01,115.331,118.745
growth_mom,2021-05-01,0.053,-1.645
growth_yoy,2021-05-01,26.35,26.988
abs,2021-06-01,116.946,116.882
growth_mom,2021-06-01,1.4,-1.569
growth_yoy,2021-06-01,1.271,1.016
abs,2021-07-01,110.607,113.621
growth_mom,2021-07-01,-5.42,-2.79
growth_yoy,2021-07-01,-5.35,-4.875
abs,2021-08-01,114.452,114.128
growth_mom,2021-08-01,3.476,0.446
growth_yoy,2021-08-01,-0.308,-0.545
abs,2021-09-01,118.272,116.78
growth_mom,2021-09-01,3.338,2.324
growth_yoy,2021-09-01,1.976,1.539
abs,2021-10-01,124.39,120.23
growth_mom,2021-10-01,5.173,2.954
growth_yoy,2021-10-01,5.539,5.539
abs,2021-11-01,124.942,121.888
growth_mom,2021-11-01,0.443,1.379
growth_yoy,2021-11-01,9.222,9.044
abs,2021-12-01,126.595,122.476
growth_mom,2021-12-01,1.323,0.482
growth_yoy,2021-12-01,5.92,6.219
abs,2022-01-01,124.865,121.888
growth_mom,2022-01-01,-1.367,-0.48
growth_yoy,2022-01-01,4.018,5.046
abs,2022-02-01,116.442,123.395
growth_mom,2022-02-01,-6.746,1.236
growth_yoy,2022-02-01,3.611,3.086
abs,2022-03-01,126.6,123.897
growth_mom,2022-03-01,8.724,0.407
growth_yoy,2022-03-01,4.949,4.674
abs,2022-04-01,120.477,126.592
growth_mom,2022-04-01,-4.836,2.175
growth_yoy,2022-04-01,4.517,4.855
abs,2022-05-01,119.432,123.402
growth_mom,2022-05-01,-0.867,-2.52
growth_yoy,2022-05-01,3.556,3.922
abs,2022-06-01,130.8,130.703
growth_mom,2022-06-01,9.518,5.916
growth_yoy,2022-06-01,11.847,11.825
abs,2022-07-01,124.68,129.03
growth_mom,2022-07-01,-4.679,-1.28
growth_yoy,2022-07-01,12.723,13.562
abs,2022-08-01,129.509,129.632
growth_mom,2022-08-01,3.873,0.467
growth_yoy,2022-08-01,13.156,13.585
abs,2022-09-01,131.097,129.318
